Age,WorkClass,fnlwgt,Education,Education-Num,Marital-Status,Occupation,Relationship,Race,Sex,Capital-Gain,Capital-Loss,Hours-per-week,Native-Country,class
high, Private,very-low, HS-grad,medium, Separated, Machine-op-inspct, Unmarried, Black, Female,very-low,very-low,low, United-States, <=50K.
low, Local-gov,low, Bachelors,very-high, Married-civ-spouse, Exec-managerial, Husband, White, Male,very-low,very-low,low, United-States, >50K.
very-high, Private,very-low, 10th,low, Widowed, Sales, Not-in-family, White, Female,very-low,very-low,low, United-States, <=50K.
low, Private,low, Bachelors,very-high, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,very-low,very-low,low, United-States, >50K.
medium, Federal-gov,low, Prof-school,very-high, Married-civ-spouse, Exec-managerial, Husband, White, Male,very-low,very-low,high, United-States, <=50K.
very-low, Private,low, Assoc-acdm,high, Never-married, Craft-repair, Not-in-family, White, Male,very-low,very-low,low, United-States, <=50K.
medium, Private,medium, Some-college,medium, Never-married, Other-service, Not-in-family, White, Male,very-low,very-low,very-low, United-States, <=50K.
low, Private,very-high, Some-college,medium, Married-civ-spouse, Other-service, Wife, White, Female,very-low,very-low,very-low, United-States, <=50K.
very-high, Private,low, 7th-8th,very-low, Married-civ-spouse, Craft-repair, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
low, Private,low, HS-grad,medium, Married-civ-spouse, Sales, Wife, White, Female,very-low,very-low,very-low, United-States, <=50K.
very-low, Private,medium, 10th,low, Never-married, Handlers-cleaners, Own-child, White, Male,very-low,very-low,very-low, United-States, <=50K.
high, Private,high, Bachelors,very-high, Married-civ-spouse, Prof-specialty, Husband, White, Male,very-low,very-low,medium, United-States, >50K.
medium, Private,very-low, Bachelors,very-high, Married-civ-spouse, Exec-managerial, Husband, White, Male,low,very-low,medium, United-States, <=50K.
low, Private,low, Bachelors,very-high, Divorced, Prof-specialty, Unmarried, White, Female,very-low,very-low,low, United-States, <=50K.
very-low, Private,very-low, 11th,low, Never-married, Priv-house-serv, Own-child, White, Male,very-low,very-low,very-low, United-States, <=50K.
very-low, Private,low, Some-college,medium, Never-married, Sales, Not-in-family, White, Male,very-low,very-low,very-low, United-States, >50K.
medium, Private,low, Some-college,medium, Married-civ-spouse, Handlers-cleaners, Wife, White, Female,very-low,very-low,low, United-States, <=50K.
medium, Federal-gov,medium, Some-college,medium, Married-civ-spouse, Adm-clerical, Husband, White, Male,very-low,medium,low, United-States, >50K.
very-low, Private,low, HS-grad,medium, Married-civ-spouse, Craft-repair, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
medium, Local-gov,very-low, Masters,very-high, Divorced, Prof-specialty, Not-in-family, White, Female,very-low,very-low,low, United-States, <=50K.
very-low, Private,high, HS-grad,medium, Married-civ-spouse, Craft-repair, Husband, White, Male,low,very-low,medium, United-States, <=50K.
low, Private,low, 12th,medium, Never-married, Sales, Own-child, White, Female,very-low,very-low,low, United-States, <=50K.
medium, Private,very-low, HS-grad,medium, Widowed, Other-service, Unmarried, White, Male,very-low,very-low,very-low, United-States, <=50K.
low, Private,low, Assoc-voc,high, Married-civ-spouse, Prof-specialty, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
medium, Private,low, 12th,medium, Divorced, Machine-op-inspct, Unmarried, Asian-Pac-Islander, Female,very-low,very-low,low, South, <=50K.
very-low, Private,low, HS-grad,medium, Separated, Adm-clerical, Not-in-family, White, Female,very-low,very-low,high, United-States, <=50K.
low, Self-emp-not-inc,medium, Some-college,medium, Never-married, Farming-fishing, Own-child, White, Male,very-low,very-low,very-high, United-States, <=50K.
very-low, Private,medium, Assoc-acdm,high, Never-married, Prof-specialty, Not-in-family, White, Female,very-low,very-low,medium, United-States, <=50K.
very-low, Private,medium, HS-grad,medium, Divorced, Other-service, Unmarried, White, Female,very-low,very-low,low, United-States, <=50K.
very-low, Private,very-low, Some-college,medium, Never-married, Adm-clerical, Not-in-family, White, Female,very-low,very-low,low, United-States, <=50K.
very-low, Private,medium, Assoc-voc,high, Never-married, Prof-specialty, Other-relative, White, Female,very-low,very-low,low, United-States, <=50K.
low, State-gov,medium, HS-grad,medium, Never-married, Adm-clerical, Not-in-family, Black, Female,very-low,very-low,low, United-States, <=50K.
medium, Private,very-low, Assoc-acdm,high, Married-civ-spouse, Craft-repair, Husband, White, Male,very-low,very-low,medium, United-States, <=50K.
low, Private,medium, Assoc-acdm,high, Married-civ-spouse, Tech-support, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
high, Self-emp-inc,low, Assoc-voc,high, Married-civ-spouse, Craft-repair, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
very-low, Private,medium, 9th,low, Never-married, Handlers-cleaners, Other-relative, White, Male,very-low,very-low,low, Mexico, <=50K.
high, Private,medium, Bachelors,very-high, Widowed, Other-service, Other-relative, Black, Female,very-low,very-low,very-low, United-States, <=50K.
medium, Private,low, HS-grad,medium, Married-civ-spouse, Sales, Wife, White, Female,very-low,very-low,low, United-States, <=50K.
high, Local-gov,very-low, Masters,very-high, Never-married, Prof-specialty, Not-in-family, White, Female,low,very-low,medium, United-States, >50K.
high, Private,medium, Bachelors,very-high, Divorced, Prof-specialty, Not-in-family, White, Female,very-low,very-low,very-low, United-States, <=50K.
high, Private,low, HS-grad,medium, Married-civ-spouse, Sales, Husband, White, Male,very-low,very-low,medium, United-States, <=50K.
very-low, Self-emp-inc,high, HS-grad,medium, Never-married, Exec-managerial, Own-child, White, Male,very-low,high,medium, United-States, <=50K.
high, Private,very-low, 7th-8th,very-low, Married-civ-spouse, Transport-moving, Husband, White, Male,very-low,very-low,medium, United-States, <=50K.
very-high, Private,very-low, HS-grad,medium, Widowed, Other-service, Not-in-family, White, Female,very-low,very-low,very-low, United-States, <=50K.
medium, Private,medium, HS-grad,medium, Married-civ-spouse, Craft-repair, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
very-low, Private,medium, HS-grad,medium, Never-married, Handlers-cleaners, Own-child, White, Male,very-low,very-low,high, United-States, <=50K.
medium, Private,very-low, Bachelors,very-high, Divorced, Prof-specialty, Not-in-family, White, Female,very-low,very-low,low, United-States, <=50K.
low, Private,high, HS-grad,medium, Divorced, Adm-clerical, Not-in-family, White, Male,very-low,very-low,low, United-States, <=50K.
low, Private,very-low, Some-college,medium, Separated, Sales, Unmarried, Black, Female,very-low,very-low,very-low, United-States, <=50K.
low, Private,medium, Bachelors,very-high, Married-civ-spouse, Transport-moving, Husband, White, Male,very-low,very-low,medium, Mexico, <=50K.
high, State-gov,very-low, Some-college,medium, Married-civ-spouse, Other-service, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
very-low, Private,low, HS-grad,medium, Married-civ-spouse, Transport-moving, Husband, White, Male,very-low,very-low,high, United-States, <=50K.
very-low, Private,medium, Some-college,medium, Never-married, Adm-clerical, Own-child, White, Female,very-low,very-low,very-low, United-States, <=50K.
low, Private,very-low, Bachelors,very-high, Married-civ-spouse, Prof-specialty, Husband, White, Male,very-low,very-low,medium, United-States, >50K.
medium, Private,medium, HS-grad,medium, Divorced, Adm-clerical, Unmarried, White, Female,very-low,very-low,low, United-States, <=50K.
medium, Private,high, Doctorate,very-high, Married-civ-spouse, Prof-specialty, Husband, White, Male,very-low,very-low,medium, United-States, >50K.
low, Private,medium, 11th,low, Married-civ-spouse, Craft-repair, Husband, White, Male,very-low,very-low,medium, United-States, >50K.
very-low, Private,low, Some-college,medium, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,low,very-low,medium, United-States, <=50K.
very-low, Private,high, HS-grad,medium, Divorced, Prof-specialty, Other-relative, Black, Female,very-low,medium,low, United-States, <=50K.
low, Private,medium, 12th,medium, Never-married, Sales, Other-relative, White, Female,very-low,very-low,low, Mexico, <=50K.
low, Private,low, 11th,low, Married-civ-spouse, Craft-repair, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
low, Private,low, Some-college,medium, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
very-low, Private,low, Some-college,medium, Never-married, Farming-fishing, Own-child, White, Male,very-low,very-low,low, United-States, <=50K.
very-low, Private,high, 11th,low, Never-married, Transport-moving, Own-child, White, Male,very-low,low,very-low, United-States, <=50K.
medium, Private,low, Assoc-voc,high, Married-civ-spouse, Craft-repair, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
medium, State-gov,very-low, Some-college,medium, Married-civ-spouse, Protective-serv, Husband, White, Male,very-low,very-low,low, United-States, >50K.
low, Federal-gov,high, Masters,very-high, Married-civ-spouse, Craft-repair, Husband, White, Male,very-low,very-low,high, India, >50K.
very-low, Private,low, Bachelors,very-high, Never-married, Sales, Not-in-family, White, Male,very-low,very-low,low, United-States, <=50K.
high, Private,low, HS-grad,medium, Married-civ-spouse, Adm-clerical, Wife, White, Female,very-low,very-low,low, United-States, <=50K.
medium, Private,low, HS-grad,medium, Never-married, Other-service, Not-in-family, White, Female,very-low,very-low,low, United-States, <=50K.
low, Self-emp-not-inc,medium, HS-grad,medium, Married-civ-spouse, Exec-managerial, Husband, White, Male,very-low,very-low,medium, United-States, >50K.
low, Self-emp-inc,low, Some-college,medium, Married-civ-spouse, Craft-repair, Husband, White, Male,low,very-low,medium, United-States, >50K.
low, Private,medium, Bachelors,very-high, Married-civ-spouse, Exec-managerial, Husband, White, Male,low,very-low,medium, United-States, >50K.
low, Private,medium, 5th-6th,very-low, Divorced, Machine-op-inspct, Not-in-family, White, Female,very-low,very-low,low, Mexico, <=50K.
high, Private,very-low, HS-grad,medium, Married-civ-spouse, Sales, Husband, White, Male,very-low,low,very-low, United-States, <=50K.
low, Private,low, HS-grad,medium, Never-married, Other-service, Not-in-family, White, Male,very-low,very-low,very-low, United-States, <=50K.
very-low, Private,very-high, Some-college,medium, Never-married, Adm-clerical, Not-in-family, Black, Female,very-low,very-low,medium, United-States, <=50K.
medium, Private,very-low, Bachelors,very-high, Married-civ-spouse, Prof-specialty, Husband, White, Male,very-low,very-low,very-high, United-States, >50K.
very-low, Private,medium, 12th,medium, Never-married, Sales, Own-child, White, Female,very-low,very-low,very-low, United-States, <=50K.
very-low, Private,very-low, Some-college,medium, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,very-low,very-low,low, United-States, <=50K.
medium, Private,low, HS-grad,medium, Married-civ-spouse, Sales, Husband, White, Male,very-low,very-low,medium, United-States, <=50K.
medium, Private,low, HS-grad,medium, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,very-low,very-low,medium, United-States, <=50K.
low, Local-gov,low, HS-grad,medium, Divorced, Transport-moving, Unmarried, White, Female,very-low,very-low,low, United-States, <=50K.
low, Private,low, HS-grad,medium, Never-married, Sales, Own-child, White, Female,very-low,very-low,low, United-States, <=50K.
very-low, Private,low, HS-grad,medium, Never-married, Tech-support, Own-child, White, Female,very-low,very-low,very-low, United-States, <=50K.
very-high, Private,low, 7th-8th,very-low, Married-civ-spouse, Transport-moving, Husband, Black, Male,very-low,very-low,low, United-States, <=50K.
medium, Private,very-low, HS-grad,medium, Separated, Prof-specialty, Unmarried, White, Female,very-low,very-low,low, United-States, <=50K.
low, Private,very-low, Assoc-voc,high, Married-civ-spouse, Exec-managerial, Wife, White, Female,low,very-low,medium, United-States, >50K.
low, Private,low, 10th,low, Married-civ-spouse, Craft-repair, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
high, State-gov,very-low, HS-grad,medium, Divorced, Adm-clerical, Own-child, White, Female,very-low,very-low,low, United-States, <=50K.
medium, Local-gov,high, Masters,very-high, Married-civ-spouse, Prof-specialty, Husband, White, Male,very-low,medium,low, United-States, >50K.
very-low, Self-emp-inc,low, Some-college,medium, Never-married, Craft-repair, Own-child, White, Male,very-low,very-low,low, United-States, <=50K.
high, Self-emp-not-inc,low, HS-grad,medium, Married-civ-spouse, Sales, Husband, White, Male,very-low,very-low,very-high, United-States, <=50K.
very-high, Local-gov,low, Some-college,medium, Widowed, Machine-op-inspct, Not-in-family, White, Male,very-low,very-low,very-low, United-States, <=50K.
very-low, Private,very-low, Bachelors,very-high, Never-married, Sales, Own-child, White, Female,very-low,very-low,low, United-States, <=50K.
high, Private,medium, Assoc-voc,high, Married-spouse-absent, Exec-managerial, Not-in-family, White, Female,very-low,very-low,medium, United-States, <=50K.
very-low, Private,medium, Some-college,medium, Never-married, Adm-clerical, Not-in-family, White, Female,very-low,very-low,low, United-States, <=50K.
low, Private,very-low, Assoc-voc,high, Married-civ-spouse, Tech-support, Husband, White, Male,very-low,very-low,medium, United-States, >50K.
high, Self-emp-not-inc,low, HS-grad,medium, Married-civ-spouse, Transport-moving, Husband, White, Male,very-low,very-low,medium, United-States, <=50K.
very-low, Private,low, 11th,low, Never-married, Prof-specialty, Own-child, White, Female,very-low,very-low,very-low, United-States, <=50K.
very-low, Private,high, 1st-4th,very-low, Never-married, Farming-fishing, Own-child, White, Female,very-low,very-low,low, Mexico, <=50K.
low, Private,high, HS-grad,medium, Separated, Sales, Not-in-family, White, Female,very-low,very-low,low, United-States, <=50K.
medium, Private,low, Some-college,medium, Married-civ-spouse, Farming-fishing, Husband, White, Male,very-low,very-low,low, Guatemala, <=50K.
low, State-gov,medium, Masters,very-high, Married-civ-spouse, Exec-managerial, Husband, White, Male,very-low,very-low,low, United-States, >50K.
low, Self-emp-inc,high, HS-grad,medium, Married-civ-spouse, Craft-repair, Husband, White, Male,very-low,very-low,medium, United-States, <=50K.
low, Private,medium, Some-college,medium, Separated, Other-service, Unmarried, White, Female,very-low,very-low,low, United-States, <=50K.
very-low, Private,medium, 12th,medium, Never-married, Craft-repair, Unmarried, White, Male,very-low,very-low,low, United-States, <=50K.
low, Private,low, HS-grad,medium, Married-civ-spouse, Exec-managerial, Husband, White, Male,very-low,very-low,medium, United-States, >50K.
medium, Private,low, HS-grad,medium, Never-married, Other-service, Not-in-family, White, Male,very-low,very-low,low, United-States, <=50K.
very-low, Private,medium, Some-college,medium, Never-married, Adm-clerical, Own-child, White, Female,very-low,very-low,very-low, United-States, <=50K.
low, Private,low, Bachelors,very-high, Married-civ-spouse, Sales, Husband, White, Male,medium,very-low,high, United-States, >50K.
very-low, Private,medium, Some-college,medium, Never-married, Tech-support, Not-in-family, White, Male,very-low,very-low,medium, United-States, <=50K.
high, Private,low, Some-college,medium, Divorced, Tech-support, Unmarried, White, Female,very-low,very-low,low, United-States, <=50K.
very-low, Private,medium, HS-grad,medium, Never-married, Other-service, Not-in-family, White, Female,very-low,very-low,low, United-States, <=50K.
medium, Federal-gov,medium, Assoc-acdm,high, Widowed, Exec-managerial, Unmarried, White, Male,medium,very-low,low, United-States, >50K.
medium, Private,low, 10th,low, Married-spouse-absent, Prof-specialty, Other-relative, Asian-Pac-Islander, Male,very-low,very-low,medium, United-States, <=50K.
medium, Private,low, Masters,very-high, Married-civ-spouse, Exec-managerial, Husband, White, Male,very-low,high,high, United-States, >50K.
very-high, Private,very-low, HS-grad,medium, Divorced, Handlers-cleaners, Not-in-family, White, Male,very-low,very-high,very-low, United-States, <=50K.
low, Private,medium, Bachelors,very-high, Divorced, Sales, Not-in-family, White, Male,very-low,very-low,low, United-States, >50K.
very-low, Private,low, Some-college,medium, Married-civ-spouse, Craft-repair, Husband, White, Male,low,very-low,high, United-States, >50K.
low, Private,low, Some-college,medium, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,very-low,very-low,medium, United-States, <=50K.
very-low, Private,low, Assoc-voc,high, Never-married, Transport-moving, Own-child, White, Male,very-low,very-low,high, United-States, <=50K.
very-low, Private,very-low, HS-grad,medium, Never-married, Adm-clerical, Own-child, White, Male,very-low,very-low,low, United-States, <=50K.
low, Private,high, HS-grad,medium, Married-civ-spouse, Transport-moving, Other-relative, Black, Male,very-low,very-low,low, United-States, <=50K.
very-low, Private,medium, 7th-8th,very-low, Married-civ-spouse, Farming-fishing, Husband, White, Male,very-low,very-low,very-low, United-States, <=50K.
high, State-gov,medium, Some-college,medium, Married-civ-spouse, Adm-clerical, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
very-high, Self-emp-not-inc,very-low, HS-grad,medium, Widowed, Farming-fishing, Not-in-family, White, Male,very-low,low,very-high, United-States, <=50K.
very-low, State-gov,low, Bachelors,very-high, Married-civ-spouse, Prof-specialty, Wife, Black, Female,very-low,very-low,low, United-States, <=50K.
very-low, Private,low, Some-college,medium, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,very-low,very-low,very-low, United-States, <=50K.
high, Local-gov,low, Masters,very-high, Married-civ-spouse, Exec-managerial, Husband, White, Male,very-low,very-low,low, United-States, >50K.
low, Self-emp-not-inc,very-low, HS-grad,medium, Married-civ-spouse, Craft-repair, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
low, Private,medium, 1st-4th,very-low, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,very-low,very-low,high, Mexico, <=50K.
very-low, State-gov,medium, Some-college,medium, Divorced, Other-service, Unmarried, White, Male,very-low,high,low, United-States, >50K.
very-high, Without-pay,low, 7th-8th,very-low, Married-civ-spouse, Farming-fishing, Husband, White, Male,very-low,very-low,very-low, United-States, <=50K.
medium, Private,low, HS-grad,medium, Married-civ-spouse, Other-service, Wife, White, Female,very-low,very-low,low, United-States, >50K.
very-low, Private,high, HS-grad,medium, Never-married, Sales, Own-child, Black, Female,very-low,very-low,low, United-States, <=50K.
very-low, Private,low, Bachelors,very-high, Never-married, Exec-managerial, Own-child, White, Female,very-low,very-low,low, United-States, <=50K.
medium, Private,very-low, 9th,low, Never-married, Other-service, Not-in-family, White, Male,very-low,very-low,very-low, United-States, <=50K.
low, Private,low, HS-grad,medium, Never-married, Craft-repair, Not-in-family, White, Male,very-low,very-low,low, United-States, <=50K.
high, Local-gov,medium, Some-college,medium, Divorced, Protective-serv, Not-in-family, White, Male,very-low,very-low,medium, United-States, <=50K.
medium, Private,very-low, 11th,low, Never-married, Priv-house-serv, Unmarried, White, Female,very-low,very-low,low, United-States, <=50K.
low, Private,medium, HS-grad,medium, Married-civ-spouse, Craft-repair, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
very-low, Private,very-low, Bachelors,very-high, Never-married, Adm-clerical, Own-child, White, Female,very-low,very-low,medium, United-States, <=50K.
low, Private,very-low, HS-grad,medium, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,very-low,very-low,low, Nicaragua, >50K.
very-low, Private,very-low, 10th,low, Never-married, Machine-op-inspct, Own-child, White, Male,very-low,very-low,very-low, United-States, <=50K.
medium, Private,high, Masters,very-high, Divorced, Sales, Not-in-family, White, Male,very-low,very-low,medium, United-States, >50K.
low, Local-gov,high, Some-college,medium, Divorced, Adm-clerical, Not-in-family, White, Female,very-low,very-low,medium, United-States, <=50K.
high, Self-emp-inc,low, Assoc-voc,high, Married-civ-spouse, Farming-fishing, Husband, White, Male,very-high,very-low,very-high, United-States, >50K.
low, Private,high, 10th,low, Married-spouse-absent, Other-service, Unmarried, Black, Female,very-low,very-low,low, United-States, <=50K.
very-low, Private,very-low, HS-grad,medium, Divorced, Sales, Not-in-family, White, Male,very-low,very-low,low, United-States, <=50K.
high, Private,high, Masters,very-high, Widowed, Exec-managerial, Own-child, White, Male,very-low,very-low,high, United-States, >50K.
very-low, Private,very-low, Some-college,medium, Never-married, Craft-repair, Not-in-family, White, Male,very-low,very-low,medium, United-States, <=50K.
very-high, Private,low, Some-college,medium, Never-married, Adm-clerical, Not-in-family, White, Female,very-low,very-low,very-low, United-States, <=50K.
very-low, Local-gov,low, HS-grad,medium, Married-civ-spouse, Transport-moving, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
medium, Private,very-low, HS-grad,medium, Divorced, Handlers-cleaners, Unmarried, White, Male,very-low,very-low,low, United-States, <=50K.
high, Private,low, HS-grad,medium, Widowed, Exec-managerial, Unmarried, White, Female,very-low,very-low,medium, United-States, <=50K.
very-low, Private,low, Some-college,medium, Never-married, Prof-specialty, Own-child, White, Male,very-low,very-low,very-low, United-States, <=50K.
very-low, Private,low, Bachelors,very-high, Never-married, Exec-managerial, Not-in-family, White, Female,very-low,very-low,medium, United-States, <=50K.
very-low, Private,medium, 12th,medium, Never-married, Handlers-cleaners, Own-child, White, Male,very-low,very-low,very-low, United-States, <=50K.
very-low, Private,low, Bachelors,very-high, Divorced, Prof-specialty, Not-in-family, White, Male,very-low,very-low,medium, United-States, <=50K.
very-low, Private,low, Bachelors,very-high, Never-married, Exec-managerial, Not-in-family, White, Male,very-low,very-low,very-low, United-States, <=50K.
low, Private,high, HS-grad,medium, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,very-low,very-low,medium, United-States, >50K.
very-low, Private,low, HS-grad,medium, Separated, Prof-specialty, Unmarried, Black, Female,very-low,very-low,low, United-States, <=50K.
very-low, Private,medium, 10th,low, Never-married, Machine-op-inspct, Not-in-family, White, Male,very-low,very-low,low, United-States, <=50K.
very-low, Local-gov,medium, HS-grad,medium, Never-married, Handlers-cleaners, Other-relative, Black, Male,very-low,very-low,low, United-States, <=50K.
very-low, Local-gov,low, Some-college,medium, Divorced, Adm-clerical, Unmarried, White, Female,very-low,very-low,medium, United-States, <=50K.
very-low, Private,high, Some-college,medium, Never-married, Transport-moving, Own-child, White, Male,very-low,very-low,very-low, United-States, <=50K.
high, Private,very-low, HS-grad,medium, Never-married, Sales, Other-relative, Black, Female,very-low,very-low,low, United-States, <=50K.
very-low, Private,high, HS-grad,medium, Divorced, Sales, Not-in-family, White, Male,very-low,very-low,very-high, United-States, <=50K.
low, Private,low, Bachelors,very-high, Married-civ-spouse, Prof-specialty, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
low, Private,high, HS-grad,medium, Never-married, Craft-repair, Not-in-family, Other, Male,very-low,very-low,low, United-States, <=50K.
very-low, Private,medium, 9th,low, Married-civ-spouse, Craft-repair, Husband, White, Male,very-low,very-low,medium, United-States, <=50K.
very-low, Private,medium, HS-grad,medium, Never-married, Prof-specialty, Own-child, White, Male,very-low,very-low,low, United-States, <=50K.
low, Local-gov,low, 11th,low, Married-civ-spouse, Prof-specialty, Wife, Black, Female,very-low,very-low,low, United-States, <=50K.
very-low, Private,very-low, HS-grad,medium, Never-married, Other-service, Own-child, White, Female,very-low,very-low,low, United-States, <=50K.
very-low, Private,very-low, Some-college,medium, Never-married, Prof-specialty, Own-child, White, Male,very-low,very-low,low, United-States, <=50K.
medium, Private,low, 7th-8th,very-low, Never-married, Farming-fishing, Not-in-family, White, Male,very-low,very-low,low, United-States, <=50K.
low, Private,high, Masters,very-high, Never-married, Prof-specialty, Not-in-family, White, Male,very-low,very-low,high, United-States, >50K.
low, Private,very-low, Bachelors,very-high, Married-civ-spouse, Sales, Husband, White, Male,very-low,very-low,high, United-States, <=50K.
low, Private,low, HS-grad,medium, Never-married, Transport-moving, Not-in-family, White, Male,very-low,low,low, United-States, <=50K.
medium, Private,very-low, Assoc-voc,high, Married-civ-spouse, Protective-serv, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
low, Local-gov,low, Masters,very-high, Married-civ-spouse, Prof-specialty, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
low, Self-emp-not-inc,very-low, Bachelors,very-high, Married-civ-spouse, Prof-specialty, Husband, White, Male,low,very-low,low, United-States, <=50K.
high, Private,high, Bachelors,very-high, Divorced, Other-service, Not-in-family, Black, Male,low,very-low,low, United-States, <=50K.
low, Private,very-low, 11th,low, Never-married, Prof-specialty, Not-in-family, Black, Female,very-low,very-low,low, United-States, <=50K.
very-low, Private,low, HS-grad,medium, Married-civ-spouse, Exec-managerial, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
low, Private,medium, Some-college,medium, Married-civ-spouse, Sales, Husband, White, Male,very-low,very-low,medium, United-States, <=50K.
medium, Private,low, HS-grad,medium, Separated, Priv-house-serv, Not-in-family, Black, Female,very-low,very-low,medium, Nicaragua, <=50K.
very-low, Private,very-low, HS-grad,medium, Never-married, Prof-specialty, Own-child, White, Male,very-low,very-low,medium, Germany, <=50K.
very-low, Private,low, 11th,low, Never-married, Other-service, Own-child, White, Male,very-low,very-low,very-low, United-States, <=50K.
low, Private,medium, HS-grad,medium, Never-married, Other-service, Own-child, Black, Male,very-low,very-low,low, United-States, <=50K.
very-low, Private,medium, HS-grad,medium, Never-married, Machine-op-inspct, Own-child, White, Male,very-low,very-low,low, Mexico, <=50K.
very-low, Private,medium, 12th,medium, Married-civ-spouse, Farming-fishing, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
high, Private,high, Some-college,medium, Separated, Prof-specialty, Other-relative, White, Female,very-low,very-low,very-high, United-States, <=50K.
very-low, Self-emp-not-inc,high, HS-grad,medium, Married-civ-spouse, Farming-fishing, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
low, Private,medium, Some-college,medium, Married-civ-spouse, Exec-managerial, Wife, White, Female,very-low,very-low,medium, United-States, >50K.
medium, State-gov,very-low, Masters,very-high, Never-married, Exec-managerial, Not-in-family, White, Female,very-low,very-low,medium, United-States, >50K.
medium, Private,very-low, Bachelors,very-high, Never-married, Prof-specialty, Own-child, White, Male,very-low,very-low,medium, United-States, <=50K.
high, Federal-gov,very-low, Some-college,medium, Married-civ-spouse, Adm-clerical, Husband, White, Male,very-low,very-low,medium, United-States, <=50K.
very-low, Self-emp-inc,very-low, HS-grad,medium, Never-married, Farming-fishing, Not-in-family, White, Male,very-low,very-low,medium, United-States, <=50K.
medium, State-gov,low, HS-grad,medium, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
very-low, Private,very-low, Some-college,medium, Never-married, Prof-specialty, Not-in-family, White, Male,very-low,very-low,very-low, United-States, <=50K.
low, Private,very-low, Bachelors,very-high, Married-civ-spouse, Sales, Husband, White, Male,medium,very-low,medium, United-States, >50K.
medium, Private,very-low, Some-college,medium, Married-civ-spouse, Prof-specialty, Husband, White, Male,very-low,very-low,low, United-States, >50K.
very-low, Private,low, HS-grad,medium, Never-married, Other-service, Not-in-family, White, Male,very-low,very-low,low, United-States, <=50K.
very-high, Private,low, 10th,low, Divorced, Other-service, Not-in-family, White, Female,very-low,very-low,very-low, United-States, <=50K.
low, Private,medium, Assoc-acdm,high, Divorced, Adm-clerical, Own-child, White, Female,very-low,very-low,high, United-States, <=50K.
low, Private,very-low, HS-grad,medium, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male,very-low,very-low,very-low, United-States, <=50K.
low, Private,low, HS-grad,medium, Married-civ-spouse, Transport-moving, Husband, White, Male,very-low,very-low,high, United-States, >50K.
high, Private,low, Bachelors,very-high, Married-civ-spouse, Exec-managerial, Husband, White, Male,very-low,very-low,medium, United-States, >50K.
very-low, Private,low, HS-grad,medium, Separated, Priv-house-serv, Own-child, White, Female,very-low,very-low,low, Guatemala, <=50K.
very-low, Private,low, HS-grad,medium, Never-married, Adm-clerical, Own-child, Black, Male,very-low,very-low,very-low, United-States, <=50K.
very-low, Private,medium, HS-grad,medium, Never-married, Transport-moving, Own-child, White, Male,very-low,very-low,low, United-States, <=50K.
medium, Private,very-low, HS-grad,medium, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,very-low,very-low,low, United-States, <=50K.
medium, State-gov,medium, Masters,very-high, Divorced, Prof-specialty, Not-in-family, White, Male,very-low,very-low,very-low, United-States, <=50K.
very-high, Private,very-low, Bachelors,very-high, Married-civ-spouse, Prof-specialty, Husband, White, Male,very-low,very-low,very-low, United-States, <=50K.
low, Private,very-low, HS-grad,medium, Married-civ-spouse, Sales, Husband, White, Male,very-low,very-low,medium, United-States, <=50K.
very-low, Private,low, Bachelors,very-high, Never-married, Other-service, Not-in-family, White, Female,very-low,very-low,low, United-States, <=50K.
